index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
197,  0.01, 50, 64, 50, 10, z-score norm  ,0.9803600654664485
198,  0.01, 50, 64, 100, 10, min-max norm  ,0.532733224222586
199,  0.01, 50, 64, 100, 10, z-score norm  ,0.9811783960720131
200,  0.01, 50, 128, 5, 10, min-max norm  ,0.9599018003273322
201,  0.01, 50, 128, 5, 10, z-score norm  ,0.967266775777414
202,  0.01, 50, 128, 10, 10, min-max norm  ,0.9631751227495908
203,  0.01, 50, 128, 10, 10, z-score norm  ,0.967266775777414
204,  0.01, 50, 128, 50, 10, min-max norm  ,0.5335515548281505
205,  0.01, 50, 128, 50, 10, z-score norm  ,0.9811783960720131
206,  0.01, 50, 128, 100, 10, min-max norm  ,0.544189852700491
207,  0.01, 50, 128, 100, 10, z-score norm  ,0.9852700490998363
208,  0.01, 50, 256, 5, 10, min-max norm  ,0.936988543371522
209,  0.01, 50, 256, 5, 10, z-score norm  ,0.9615384615384616
210,  0.01, 50, 256, 10, 10, min-max norm  ,0.9566284779050737
211,  0.01, 50, 256, 10, 10, z-score norm  ,0.972176759410802
212,  0.01, 50, 256, 50, 10, min-max norm  ,0.49918166939443537
213,  0.01, 50, 256, 50, 10, z-score norm  ,0.9787234042553191
214,  0.01, 50, 256, 100, 10, min-max norm  ,0.5294599018003273
215,  0.01, 50, 256, 100, 10, z-score norm  ,0.9803600654664485
216,  0.01, 50, 500, 5, 10, min-max norm  ,0.9459901800327333
217,  0.01, 50, 500, 5, 10, z-score norm  ,0.9525368248772504
218,  0.01, 50, 500, 10, 10, min-max norm  ,0.8101472995090017
219,  0.01, 50, 500, 10, 10, z-score norm  ,0.9566284779050737
220,  0.01, 50, 500, 50, 10, min-max norm  ,0.5335515548281505
221,  0.01, 50, 500, 50, 10, z-score norm  ,0.9738134206219312
222,  0.01, 50, 500, 100, 10, min-max norm  ,0.5400981996726678
223,  0.01, 50, 500, 100, 10, z-score norm  ,0.9844517184942717
224,  0.01, 100, 64, 5, 10, min-max norm  ,0.9615384615384616
225,  0.01, 100, 64, 5, 10, z-score norm  ,0.9582651391162029
226,  0.01, 100, 64, 10, 10, min-max norm  ,0.9574468085106383
227,  0.01, 100, 64, 10, 10, z-score norm  ,0.972176759410802
